week,staff_id,staff_name,role,service,present
1,STF-b77cdc60,Allison Hill,doctor,emergency,1
2,STF-b77cdc60,Allison Hill,doctor,emergency,1
3,STF-b77cdc60,Allison Hill,doctor,emergency,0
4,STF-b77cdc60,Allison Hill,doctor,emergency,1
5,STF-b77cdc60,Allison Hill,doctor,emergency,1
6,STF-b77cdc60,Allison Hill,doctor,emergency,0
7,STF-b77cdc60,Allison Hill,doctor,emergency,1
8,STF-b77cdc60,Allison Hill,doctor,emergency,1
9,STF-b77cdc60,Allison Hill,doctor,emergency,0
10,STF-b77cdc60,Allison Hill,doctor,emergency,1
11,STF-b77cdc60,Allison Hill,doctor,emergency,1
12,STF-b77cdc60,Allison Hill,doctor,emergency,0
13,STF-b77cdc60,Allison Hill,doctor,emergency,1
14,STF-b77cdc60,Allison Hill,doctor,emergency,1
15,STF-b77cdc60,Allison Hill,doctor,emergency,0
16,STF-b77cdc60,Allison Hill,doctor,emergency,1
17,STF-b77cdc60,Allison Hill,doctor,emergency,1
18,STF-b77cdc60,Allison Hill,doctor,emergency,0
19,STF-b77cdc60,Allison Hill,doctor,emergency,1
20,STF-b77cdc60,Allison Hill,doctor,emergency,1
21,STF-b77cdc60,Allison Hill,doctor,emergency,0
22,STF-b77cdc60,Allison Hill,doctor,emergency,0
23,STF-b77cdc60,Allison Hill,doctor,emergency,1
24,STF-b77cdc60,Allison Hill,doctor,emergency,0
25,STF-b77cdc60,Allison Hill,doctor,emergency,0
26,STF-b77cdc60,Allison Hill,doctor,emergency,1
27,STF-b77cdc60,Allison Hill,doctor,emergency,0
28,STF-b77cdc60,Allison Hill,doctor,emergency,1
29,STF-b77cdc60,Allison Hill,doctor,emergency,1
30,STF-b77cdc60,Allison Hill,doctor,emergency,0
31,STF-b77cdc60,Allison Hill,doctor,emergency,0
32,STF-b77cdc60,Allison Hill,doctor,emergency,1
33,STF-b77cdc60,Allison Hill,doctor,emergency,0
34,STF-b77cdc60,Allison Hill,doctor,emergency,0
35,STF-b77cdc60,Allison Hill,doctor,emergency,1
36,STF-b77cdc60,Allison Hill,doctor,emergency,0
37,STF-b77cdc60,Allison Hill,doctor,emergency,0
38,STF-b77cdc60,Allison Hill,doctor,emergency,1
39,STF-b77cdc60,Allison Hill,doctor,emergency,0
40,STF-b77cdc60,Allison Hill,doctor,emergency,1
41,STF-b77cdc60,Allison Hill,doctor,emergency,1
42,STF-b77cdc60,Allison Hill,doctor,emergency,0
43,STF-b77cdc60,Allison Hill,doctor,emergency,1
44,STF-b77cdc60,Allison Hill,doctor,emergency,1
45,STF-b77cdc60,Allison Hill,doctor,emergency,0
46,STF-b77cdc60,Allison Hill,doctor,emergency,1
47,STF-b77cdc60,Allison Hill,doctor,emergency,1
48,STF-b77cdc60,Allison Hill,doctor,emergency,0
49,STF-b77cdc60,Allison Hill,doctor,emergency,1
50,STF-b77cdc60,Allison Hill,doctor,emergency,1
51,STF-b77cdc60,Allison Hill,doctor,emergency,0
52,STF-b77cdc60,Allison Hill,doctor,emergency,1
1,STF-5e560b99,Noah Rhodes,doctor,emergency,1
2,STF-5e560b99,Noah Rhodes,doctor,emergency,1
3,STF-5e560b99,Noah Rhodes,doctor,emergency,0
4,STF-5e560b99,Noah Rhodes,doctor,emergency,1
5,STF-5e560b99,Noah Rhodes,doctor,emergency,1
6,STF-5e560b99,Noah Rhodes,doctor,emergency,0
7,STF-5e560b99,Noah Rhodes,doctor,emergency,1
8,STF-5e560b99,Noah Rhodes,doctor,emergency,1
9,STF-5e560b99,Noah Rhodes,doctor,emergency,0
10,STF-5e560b99,Noah Rhodes,doctor,emergency,1
11,STF-5e560b99,Noah Rhodes,doctor,emergency,1
12,STF-5e560b99,Noah Rhodes,doctor,emergency,0
13,STF-5e560b99,Noah Rhodes,doctor,emergency,0
14,STF-5e560b99,Noah Rhodes,doctor,emergency,0
15,STF-5e560b99,Noah Rhodes,doctor,emergency,0
16,STF-5e560b99,Noah Rhodes,doctor,emergency,0
17,STF-5e560b99,Noah Rhodes,doctor,emergency,1
18,STF-5e560b99,Noah Rhodes,doctor,emergency,0
19,STF-5e560b99,Noah Rhodes,doctor,emergency,1
20,STF-5e560b99,Noah Rhodes,doctor,emergency,1
21,STF-5e560b99,Noah Rhodes,doctor,emergency,0
22,STF-5e560b99,Noah Rhodes,doctor,emergency,1
23,STF-5e560b99,Noah Rhodes,doctor,emergency,0
24,STF-5e560b99,Noah Rhodes,doctor,emergency,0
25,STF-5e560b99,Noah Rhodes,doctor,emergency,1
26,STF-5e560b99,Noah Rhodes,doctor,emergency,1
27,STF-5e560b99,Noah Rhodes,doctor,emergency,0
28,STF-5e560b99,Noah Rhodes,doctor,emergency,1
29,STF-5e560b99,Noah Rhodes,doctor,emergency,0
30,STF-5e560b99,Noah Rhodes,doctor,emergency,0
31,STF-5e560b99,Noah Rhodes,doctor,emergency,1
32,STF-5e560b99,Noah Rhodes,doctor,emergency,1
33,STF-5e560b99,Noah Rhodes,doctor,emergency,0
34,STF-5e560b99,Noah Rhodes,doctor,emergency,0
35,STF-5e560b99,Noah Rhodes,doctor,emergency,1
36,STF-5e560b99,Noah Rhodes,doctor,emergency,0
37,STF-5e560b99,Noah Rhodes,doctor,emergency,1
38,STF-5e560b99,Noah Rhodes,doctor,emergency,1
39,STF-5e560b99,Noah Rhodes,doctor,emergency,0
40,STF-5e560b99,Noah Rhodes,doctor,emergency,1
41,STF-5e560b99,Noah Rhodes,doctor,emergency,1
42,STF-5e560b99,Noah Rhodes,doctor,emergency,0
43,STF-5e560b99,Noah Rhodes,doctor,emergency,1
44,STF-5e560b99,Noah Rhodes,doctor,emergency,1
45,STF-5e560b99,Noah Rhodes,doctor,emergency,0
46,STF-5e560b99,Noah Rhodes,doctor,emergency,1
47,STF-5e560b99,Noah Rhodes,doctor,emergency,0
48,STF-5e560b99,Noah Rhodes,doctor,emergency,0
49,STF-5e560b99,Noah Rhodes,doctor,emergency,1
50,STF-5e560b99,Noah Rhodes,doctor,emergency,1
51,STF-5e560b99,Noah Rhodes,doctor,emergency,0
52,STF-5e560b99,Noah Rhodes,doctor,emergency,1
1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
13,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
14,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
15,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
16,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
17,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
18,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
